,project_phase,User_uid,Cat,Fox,Marten,Raccoon,garden_type,garden_size,Local_tree_cover,fence_height,compost,pop_100,dist_water_100,imperv_100,noise_100,tree_cover_100,distance_border,inside,season,covid,dist_border,pop_100m
91,1,236,4,1,1,2,Kleingarten,475,12,120,Geschlossen,0.001785907,696.9051514,36.85071945,61.86613083,37.99266434,6997.542915,1,Fall,No,6980.80009,0.001331111
92,1,238,43,8,0,8,Kleingarten,600,15,120,Geschlossen,80.18625641,418.0301819,60.00119019,56.40686798,23.42235374,4601.400152,1,Fall,No,4706.7444,79.12084787
93,1,239,8,1,0,1,Wohngrundstueck,530,20,100,Keiner,24.70902443,353.8510132,17.59035873,44.18325806,32.23181534,1248.589774,1,Fall,No,1218.533768,27.07443265
94,1,240,36,7,0,1,Wohngrundstueck,400,20,140,Geschlossen,16.31129074,575.9309082,18.86836624,45.03943253,64.35105133,1443.909412,1,Fall,No,1433.909408,19.50957967
95,1,242,8,45,0,3,Wohngrundstueck,1000,15,150,Offen,34.90745544,504.7312317,39.82361221,53.61419678,32.1387558,662.3575104,1,Fall,No,678.1866008,36.36995452
96,1,243,3,7,0,2,Wohngrundstueck,812,40,120,Offen,46.52904892,249.2260895,43.28554916,59.41429138,42.2495079,396.1771127,1,Fall,No,394.6987523,48.02683723
97,1,244,8,3,0,0,Wohngrundstueck,700,50,160,Offen,25.29591179,694.5065918,34.39593506,48.12878036,43.89198303,2345.777411,1,Fall,No,2329.431608,33.91718489
98,1,245,9,13,2,0,Wohngrundstueck,50,10,100,Keiner,52.07816696,510.6247559,47.9226532,52.42748642,21.58119583,1846.505547,1,Fall,No,1850.116229,55.19403144
99,1,246,10,3,0,0,Wohngrundstueck,250,15,120,Offen,38.02093124,646.5791626,63.04976273,61.54297256,41.55626297,1549.056201,1,Fall,No,1543.740459,40.08951619
100,1,249,3,6,0,0,Kleingarten,270,10,120,Offen,8.099406242,1274.826416,67.92324066,56.19639969,13.95331478,1077.395885,1,Fall,No,1036.815763,8.722003137
101,1,250,48,0,0,2,Wohngrundstueck,976,10,120,Geschlossen,46.42340088,1082.364746,30.82256889,51.37505722,60.43542862,2074.652107,1,Fall,No,2041.085126,46.51831408
102,1,253,3,5,1,1,Kleingarten,360,15,150,Offen,138.2557831,396.5407715,61.17998123,65.29844666,28.82118607,3624.596002,1,Fall,No,3628.959772,130.5752793
103,1,254,78,6,0,1,Wohngrundstueck,950,10,120,Offen,92.77999878,753.0703125,46.11460114,46.36550522,50.46908951,1428.399166,1,Fall,No,1451.548857,95.91612712
104,1,260,0,1,5,2,Wohngrundstueck,1000,20,130,Keiner,37.96155167,1135.268433,44.91563797,52.84534454,50.16415405,332.6089393,1,Fall,No,324.5526554,40.05611779
105,1,262,4,1,1,0,Wohngrundstueck,500,20,120,Offen,15.12757683,559.3100586,64.53083038,56.61338425,31.04600716,4884.079673,1,Fall,No,4876.851819,14.12925224
106,1,263,19,5,0,1,Wohngrundstueck,1100,80,60,Offen,310.2138672,1479.325806,59.2626915,45.63854218,28.43298912,9196.222862,1,Fall,No,9201.340878,285.7589246
107,1,269,15,0,0,2,Wohngrundstueck,400,10,70,Geschlossen,45.60833359,985.993103,56.18284988,54.05250168,33.50398254,4381.485031,1,Fall,No,4340.177441,48.12807354
108,1,270,15,8,1,26,Kleingarten,650,10,110,Offen,1.220000029,1109.174561,50.08308792,55.1836853,61.85972214,4717.365078,1,Fall,No,4705.044236,1.219999976
109,1,272,0,0,5,1,Wohngrundstueck,600,3,180,Keiner,21.34124756,280.0805969,40.60700989,55.65563583,57.58433914,3171.316917,1,Fall,No,3161.06096,25.51264087
110,1,274,21,10,3,0,Wohngrundstueck,500,35,130,Offen,29.85000038,90.75585175,20.46819115,42.83578873,61.75759888,3183.56923,1,Fall,No,3230.681123,30.40727604
111,1,275,37,0,0,2,Wohngrundstueck,1200,20,100,Keiner,36.24539185,1464.118164,47.64123917,59.38358688,61.11998367,750.8993461,1,Fall,No,761.7851407,35.44506012
112,1,277,0,1,0,4,Wohngrundstueck,400,15,180,Offen,38.4222641,614.6118164,71.89447784,48.83793259,13.33940411,428.0171558,1,Fall,No,399.4118709,40.15311555
113,1,278,23,3,0,10,Wohngrundstueck,820,25,120,Geschlossen,38.86083984,715.1895142,68.76164246,47.81718063,22.93385696,461.176529,1,Fall,No,399.5200686,39.00675346
114,1,279,24,22,11,1,Wohngrundstueck,300,20,0,Keiner,64.8709259,173.7993622,50.98560715,53.35699844,48.96047592,2315.63892,1,Fall,No,2191.317433,62.38523459
115,1,284,1,1,0,12,Wohngrundstueck,600,12,50,Geschlossen,36.03725815,76.54381561,14.06984043,48.57880402,44.55243301,1907.718075,1,Fall,No,1909.925834,34.03625881
116,1,285,1,5,0,1,Wohngrundstueck,1700,30,0,Geschlossen,25.63563919,1213.151855,56.28154373,52.13835907,33.67892456,1472.473781,1,Fall,No,1466.209063,26.42632891
117,1,287,0,2,0,0,Wohngrundstueck,1500,10,120,Geschlossen,52.38999557,841.1009521,46.54317474,53.67227936,44.37374496,2256.773627,1,Fall,No,2236.980451,52.06280338
118,1,288,4,0,1,0,Wohngrundstueck,600,50,150,Geschlossen,39.73023987,645.991333,62.60232162,54.80970764,32.22535706,1066.958082,1,Fall,No,971.8852838,39.10914734
119,1,289,1,1,0,1,Wohngrundstueck,3000,10,80,Offen,17.55270004,98.8117218,74.47928619,65.03790283,8.350440979,2368.344021,1,Fall,No,2178.195726,23.74843219
